CNES - Recursos F�sicos - Equipamentos - Bahia
Equipamentos Existentes por Munic�pio e Ano/m�s compet.
Equipamento selecionado: Mam�grafo
Per�odo:2019
"Mun.Cod.";"Munic�pio";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez"
"290010";"Aba�ra";0;0;0;0;0;0;0;0;0;0;0;0
"290020";"Abar�";0;0;0;0;0;0;0;0;0;0;0;0
"290030";"Acajutiba";0;0;0;0;0;0;0;0;0;0;0;0
"290035";"Adustina";0;0;0;0;0;0;0;0;0;0;0;0
"290040";"�gua Fria";0;0;0;0;0;0;0;0;0;0;0;0
"290060";"Aiquara";0;0;0;0;0;0;0;0;0;0;0;0
"290070";"Alagoinhas";6;6;6;6;6;6;6;6;6;6;6;6
"290080";"Alcoba�a";0;0;0;0;0;0;0;0;0;0;0;0
"290090";"Almadina";0;0;0;0;0;0;0;0;0;0;0;0
"290100";"Amargosa";1;1;1;1;1;1;1;1;1;1;1;1
"290110";"Am�lia Rodrigues";0;0;0;0;0;0;0;0;0;0;0;0
"290115";"Am�rica Dourada";0;0;0;0;0;0;0;0;0;0;0;0
"290120";"Anag�";0;0;0;0;0;0;0;0;0;0;0;0
"290130";"Andara�";0;0;0;0;0;0;0;0;0;0;0;0
"290135";"Andorinha";0;0;0;0;0;0;0;0;0;0;0;0
"290140";"Angical";0;0;0;0;0;0;0;0;0;0;0;0
"290150";"Anguera";0;0;0;0;0;0;0;0;0;0;0;0
"290160";"Antas";0;0;0;0;0;0;0;0;0;0;0;0
"290170";"Ant�nio Cardoso";0;0;0;0;0;0;0;0;0;0;0;0
"290180";"Ant�nio Gon�alves";0;0;0;0;0;0;0;0;0;0;0;0
"290190";"Apor�";0;0;0;0;0;0;0;0;0;0;0;0
"290195";"Apuarema";0;0;0;0;0;0;0;0;0;0;0;0
"290205";"Ara�as";0;0;0;0;0;0;0;0;0;0;0;0
"290200";"Aracatu";0;0;0;0;0;0;0;0;0;0;0;0
"290210";"Araci";2;2;2;2;2;2;2;2;2;2;2;2
"290220";"Aramari";0;0;0;0;0;0;0;0;0;0;0;0
"290225";"Arataca";0;0;0;0;0;0;0;0;0;0;0;0
"290230";"Aratu�pe";0;0;0;0;0;0;0;0;0;0;0;0
"290240";"Aurelino Leal";0;0;0;0;0;0;0;0;0;0;0;0
"290250";"Baian�polis";1;1;1;1;1;1;1;1;1;1;1;1
"290260";"Baixa Grande";0;0;0;0;0;0;0;0;0;0;0;0
"290265";"Banza�";0;0;0;0;0;0;0;0;0;0;0;0
"290270";"Barra";3;2;2;2;2;2;2;2;2;2;2;2
"290280";"Barra da Estiva";1;1;1;1;1;1;1;1;1;1;1;1
"290290";"Barra do Cho�a";0;0;0;0;0;0;0;0;0;0;0;0
"290300";"Barra do Mendes";0;0;0;0;0;0;0;0;0;0;0;0
"290310";"Barra do Rocha";0;0;0;0;0;0;0;0;0;0;0;0
"290320";"Barreiras";3;3;3;3;3;3;3;3;3;3;3;3
"290323";"Barro Alto";0;0;0;0;0;0;0;0;0;0;0;0
"290330";"Barro Preto";0;0;0;0;0;0;0;0;0;0;0;0
"290327";"Barrocas";0;0;0;0;0;0;0;0;0;0;0;0
"290340";"Belmonte";0;0;0;0;0;0;0;0;0;0;0;0
"290350";"Belo Campo";0;0;0;0;0;0;0;0;0;0;0;0
"290360";"Biritinga";0;0;0;0;0;0;0;0;0;0;0;0
"290370";"Boa Nova";0;0;0;0;0;0;0;0;0;0;0;0
"290380";"Boa Vista do Tupim";0;0;0;0;0;0;0;0;0;0;0;0
"290390";"Bom Jesus da Lapa";1;1;1;1;1;1;1;1;1;1;1;1
"290395";"Bom Jesus da Serra";0;0;0;0;0;0;0;0;0;0;0;0
"290400";"Boninal";0;0;0;0;0;0;0;0;0;0;0;0
"290405";"Bonito";0;0;0;0;0;0;0;0;0;0;0;0
"290410";"Boquira";0;0;0;0;0;0;0;0;0;0;0;0
"290420";"Botupor�";0;0;0;0;0;0;0;0;0;0;0;0
"290430";"Brej�es";0;0;0;0;0;0;0;0;0;0;0;0
"290440";"Brejol�ndia";0;0;0;0;0;0;0;0;0;0;0;0
"290450";"Brotas de Maca�bas";0;0;0;0;0;0;0;0;0;0;0;0
"290460";"Brumado";4;4;4;4;4;4;4;4;4;4;4;4
"290470";"Buerarema";0;0;0;0;0;0;0;0;0;0;0;0
"290475";"Buritirama";0;0;0;0;0;0;0;0;0;0;0;0
"290480";"Caatiba";0;0;0;0;0;0;0;0;0;0;0;0
"290485";"Cabaceiras do Paragua�u";0;0;0;0;0;0;0;0;0;0;0;0
"290490";"Cachoeira";1;1;1;1;1;1;1;1;1;1;1;1
"290500";"Cacul�";0;0;0;0;0;0;0;0;0;0;0;0
"290510";"Ca�m";0;0;0;0;0;0;0;0;0;0;0;0
"290515";"Caetanos";0;0;0;0;0;0;0;0;0;0;0;0
"290520";"Caetit�";3;3;3;3;3;3;3;3;3;3;1;1
"290530";"Cafarnaum";0;0;0;0;0;0;0;0;0;0;0;0
"290540";"Cairu";0;0;0;0;0;0;0;0;0;0;0;0
"290550";"Caldeir�o Grande";0;0;0;0;0;0;0;0;0;0;0;0
"290560";"Camacan";1;1;1;1;1;1;1;1;1;1;1;1
"290570";"Cama�ari";3;3;3;4;4;3;4;4;4;4;3;3
"290580";"Camamu";0;0;0;0;0;0;0;0;0;0;0;0
"290590";"Campo Alegre de Lourdes";0;0;0;0;0;0;0;0;0;0;0;0
